time,seen_url_count,unsearched_count,unextracted_count
0,0,468,31
15,569,1335,54
30,1522,1603,64
45,1874,1791,60
60,2141,2054,17
75,2514,2422,28
90,2990,2616,17
105,3289,2782,18
120,3559,2845,49
135,3706,2984,69
150,3923,3049,61
165,4039,2994,80
180,4083,3180,83
195,4393,3126,94
210,4450,3089,42
225,4512,3066,49
240,4570,3067,60
255,4662,3039,41
270,4701,3134,39
285,4867,3300,74
300,5147,3406,49
315,5362,3409,0
330,5541,3363,0
345,5601,3301,0
360,5628,3281,0
375,5641,3237,22
390,5682,3239,49
405,5798,3247,85
420,5928,3198,133
435,6016,3097,173
450,6019,3017,196
465,6021,2922,244
480,6022,2849,261
495,6023,2771,279
510,6046,2668,291
525,6065,2669,269
540,6153,2597,305
555,6211,2519,322
570,6226,2425,359
585,6241,2356,413
