time,seen_url_count,unsearched_count,unextracted_count
0,0,118,119
15,267,284,214
30,574,885,271
45,1291,885,384
60,1433,1086,504
75,1778,980,629
90,1818,900,727
105,1866,935,837
120,2037,828,939
135,2071,817,1042
150,2199,694,1145
165,2208,679,1217
180,2322,634,1271
195,2407,415,1363
210,2410,353,1423
225,2457,261,1504
240,2460,164,1593
255,2463,113,1631
270,2487,166,1678
285,2645,111,1781
300,2730,11,1874
315,2757,33,1913
330,2877,32,1980
345,2973,37,2082
360,3109,1,2190
375,3201,62,2285
390,3390,127,2390
405,3582,37,2505
420,3624,18,2540
435,3699,0,2530
450,3744,0,2576
465,3843,0,2613
480,3943,31,2514
495,4012,99,2618
510,4241,0,2577
525,4276,0,2542
540,4343,44,2518
555,4446,0,2562
570,4511,0,2604
585,4626,0,2629
600,4709,24,2630
615,4841,271,2596
630,5190,179,2678
645,5208,164,2726
660,5300,88,2790
675,5336,27,2857
690,5398,23,2840
705,5491,0,2871
720,5569,0,2815
735,5636,7,2809
750,5730,0,2818
765,5792,0,2818
780,5792,0,2818
795,5792,0,2818
810,5792,0,2818
825,5792,0,2818
840,5792,0,2818
855,5792,0,2818
870,5792,0,2818
885,5792,0,2818
900,5792,0,2818
915,5792,0,2818
930,5792,0,2815
945,5873,0,2650
960,5922,0,2639
975,5985,0,2632
990,6049,0,2604
1005,6104,0,2482
1020,6115,0,2304
1035,6131,0,2175
1050,6134,96,2119
1065,6274,0,2183
1080,6276,0,2051
1095,6281,0,2013
1110,6340,0,1893
1125,6354,0,1835
1140,6394,13,1705
1155,6485,0,1752
1170,6569,0,1643
1185,6588,0,1542
